ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,189,C:\Program Files\Wireshark\Wireshark.exe,2020-04-DD 11:03:38,NA,False,Live Registry
1,190,C:\Program Files (x86)\NetSarang\Xftp 7\Xftp.exe,2021-01-DD 09:27:56,NA,False,Live Registry
1,191,C:\Program Files (x86)\NetSarang\Xshell 7\Xshell.exe,2021-01-DD 09:28:00,NA,False,Live Registry
1,192,C:\Program Files\Honeycam\Honeycam.exe,2021-07-DD 12:42:44,NA,False,Live Registry
1,193,C:\Riot Games\Riot Client\RiotClientServices.exe,2022-01-DD 09:49:45,NA,False,Live Registry
1,194,C:\Program Files\Bandizip\Bandizip.exe,2022-01-DD 07:51:46,NA,False,Live Registry
1,195,C:\Program Files (x86)\Bandicam\bdcam.exe,2020-07-DD 09:43:52,NA,False,Live Registry
1,196,C:\Program Files\Bandicut\bdcut.exe,2020-10-DD 04:55:36,NA,False,Live Registry
1,197,C:\Program Files (x86)\ESTsoft\ALSee\ALSee.exe,2021-11-DD 04:53:02,NA,False,Live Registry
1,198,C:\Program Files (x86)\Kakao\KakaoTalk\KakaoTalk.exe,2022-05-DD 05:36:58,NA,False,Live Registry
